NeighborhoodName,Population,"% Foriegn Born","% Hispanic","% 65+"
"West Roxbury",32795,21,9,17
"Downtown Boston",16903,34,6,15
"Back Bay",19761,18,7,13
Mattapan,24268,35,16,13
"North End",9107,13,4,12
"West End Boston",5945,23,12,12
Roslindale,28644,25,23,12
"South End",31601,22,14,12
Brighton,47768,24,10,12
"Beacon Hill",9305,10,4,11
"Mission Hill",16700,27,18,11
"Jamaica Plain",39240,23,25,10
"Harbor Islands",329,10,20,10
Roxbury,51252,26,29,10
Dorchester,124489,33,16,10
Charlestown,18058,17,11,9
"South Boston",35660,12,10,9
"East Boston",44989,51,58,9
"South Boston Waterfront",2862,18,1,8
Fenway,32210,25,11,4
Allston,19761,29,16,3
"Longwood Medical Area",5233,14,9,1
