Neighborhood,Department,"Avg Salary"
Allston,"BPS East Boston High",112794.950000
Allston,"Boston Police Department",107599.310000
Allston,"BPS Boston Comm Leadership Ac",105251.980000
Allston,"Curley K-8",105050.550000
Allston,"BPS Horace Mann",104401.550000
Allston,"BPS Hennigan Elementary",103492.870000
Allston,"BPS Winship Elementary",102371.290000
Allston,"Public Facilities Department",97647.000000
Allston,"Boston Police Department",97413.670000
Allston,"BPS Special Education",97096.060000
Allston,"Green Academy",94524.030000
Allston,"Umana Middle",92937.000000
Allston,"BPS Cl#10 Lee Academy",91820.780000
Allston,"Boston Police Department",91573.370000
Allston,Communications,91204.350000
Allston,"Inspectional Services Dept",90219.160000
Allston,"Boston Police Department",88964.170000
Allston,"ASD Human Resources",88300.080000
Allston,"BPS Boston Latin",83640.350000
Allston,"Boston Police Department",82772.870000
Allston,"Neighborhood Development",81509.500000
Allston,"Auditing Department",81308.340000
Allston,"Boston Police Department",81308.330000
Allston,"Property Management",81308.310000
Allston,"Elderly Commission",78283.880000
Allston,"BPS Otis Elementary",78201.020000
Allston,"BPS Bradley Elementary",77579.990000
Allston,"Boston Public Library",77434.320000
Allston,"Research Assess & Eval",75436.530000
Allston,"Mildred Avenue K-8",74057.080000
Allston,"BPS Burke High",73471.100000
Allston,"BPS Dever Elementary",73384.650000
Allston,"BPS Madison Park High",71731.480000
Allston,"Gardner Pilot  Academy",70994.690000
Allston,"BPS Orchard Gardens K-8 Pilot",70222.900000
Allston,"Boston Retirement System",69215.400000
Allston,"WREC: Urban Science Academy",69200.320000
Allston,"Public Facilities Department",68618.580000
Allston,"BPS Trotter Elementary",68260.200000
Allston,"Eliot K-8",68184.770000
Allston,"Boston Public Library",67410.440000
Allston,"Boston Public Library",66206.340000
Allston,"UP Academy Dorchester",64561.000000
Allston,"Boston City Council",64393.340000
Allston,"UP Academy Holland",63745.270000
Allston,"Lyon K-8",60384.110000
Allston,"BPS Burke High",60366.290000
Allston,"Boston Cntr - Youth & Families",60158.800000
Allston,"Public Facilities Department",60085.850000
Allston,"BPS Boston Evening Academy",58850.710000
Allston,"Ellison/Parks EES",58320.290000
Allston,"Mayor's Office",58166.990000
Allston,"UP Academy Holland",57384.620000
Allston,"BPS Charlestown High",57068.850000
Allston,"Boston Retirement System",56649.050000
Allston,"Baldwin ELC",55789.850000
Allston,"Kennedy, JF Elementary",55767.880000
Allston,"Boston Fire Department",54187.810000
Allston,"Traffic Division",53682.930000
Allston,"Mayor's Office",53515.720000
Allston,"BPS Brighton High",53262.080000
Allston,"BPS Orchard Gardens K-8 Pilot",52769.650000
Allston,"Veterans' Services",52185.350000
Allston,"Boston Police Department",51755.910000
Allston,"BPS Orchard Gardens K-8 Pilot",51091.730000
Allston,"Boston Public Library",50871.150000
Allston,"BPS Facility Management",50374.740000
Allston,"ASD Office Of Labor Relation",50074.970000
Allston,"Boston Public Library",49637.810000
Allston,"Parks Department",49181.680000
Allston,"Public Works Department",49003.620000
Allston,"Boston Public Library",48802.510000
Allston,"Boston Public Library",48802.430000
Allston,"Neighborhood Services",48127.850000
Allston,"Boston Police Department",47543.390000
Allston,"UP Academy Holland",47055.010000
Allston,"Gardner Pilot  Academy",46861.250000
Allston,"Boston Cntr - Youth & Families",46558.900000
Allston,"Boston Public Library",46134.830000
Allston,"Office of Tourism",45742.090000
Allston,"BPS Special Education",45672.250000
Allston,"BPS Boston Arts Academy",45273.550000
Allston,"Boston Police Department",45066.120000
Allston,"English Language Learn",44559.790000
Allston,"BPS Hennigan Elementary",44453.000000
Allston,"BPS Substitute Teachers/Nurs",43695.960000
Allston,"BPS Dever Elementary",43682.810000
Allston,"Cemetery Division",43063.970000
Allston,"Treasury-Treasury Division",42152.290000
Allston,"BPS McKinley Middle",41850.820000
Allston,"BPS Boston Comm Leadership Ac",40012.780000
Allston,"Boston Cntr - Youth & Families",38911.490000
Allston,"Boston Cntr - Youth & Families",38728.130000
Allston,"BPS Facility Management",38669.990000
Allston,"Green Academy",38625.840000
Allston,"Warren/Prescott K-8",38224.520000
Allston,"Lyon Pilot High 9-12",38042.090000
Allston,"BPS Horace Mann",37857.140000
Allston,"BPS Mendell Elementary",37252.050000
Allston,"BPS Boston Evening Academy",36752.670000
Allston,"Boston Public Library",36109.080000
Allston,"Registry Division",35109.010000
Allston,"BPS Brighton High",34814.560000
Allston,"Umana Middle",33861.990000
Allston,"BPS Quincy Elementary",33307.640000
Allston,"Edison K-8",33100.100000
Allston,"BPS Special Education",33045.530000
Allston,"Public Works Department",31894.760000
Allston,"BPS Brighton High",31413.170000
Allston,"BPS Brighton High",30032.450000
Allston,"BPS Hale Elementary",29387.970000
Allston,"Gardner Pilot  Academy",27261.060000
Allston,"Dpt of Innovation & Technology",23098.520000
Allston,"Boston City Council",22442.490000
Allston,"Edison K-8",22125.890000
Allston,"Frederick Pilot Middle",22104.560000
Allston,"West Zone ELC",21383.000000
Allston,"BPS Philbrick Elementary",20494.310000
Allston,"Hurley K-8",19972.340000
Allston,"Neighborhood Services",17841.400000
Allston,"Boston Public Library",17524.200000
Allston,"UP Academy Holland",17054.340000
Allston,"Jackson/Mann K-8",16595.600000
Allston,"HPEC: Com Acd Science & Health",16517.740000
Allston,"BPS Facility Management",16139.760000
Allston,"Gardner Pilot  Academy",14168.970000
Allston,"UP Academy Dorchester",12666.680000
Allston,"Public Works Department",12406.450000
Allston,"BPS Orchard Gardens K-8 Pilot",12295.870000
Allston,"Traffic Division",11966.650000
Allston,"Boston Police Department",11683.430000
Allston,"Green Academy",11130.960000
Allston,"Gardner Pilot  Academy",8789.520000
Allston,"Office of Tourism",8556.500000
Allston,"BPS Special Education",7533.000000
Allston,"Youth Engagement & Employment",7476.000000
Allston,"BPS Winship Elementary",6675.060000
Allston,"Law Department",6249.020000
Allston,"Achievement Gap",5970.000000
Allston,"Tobin K-8",5569.460000
Allston,"BPS Otis Elementary",4560.280000
Allston,"Lyon K-8",4017.600000
Allston,"BPS Athletics",3907.980000
Allston,"BPS Substitute Teachers/Nurs",1733.090000
Allston,"BPS Facility Management",1482.630000
Allston,"Hernandez K-8",1171.930000
Allston,"Baldwin ELC",1007.270000
Allston,"Boston Public Library",506.500000
Allston,"Office of Arts & Culture",270.000000
"Back Bay","Boston Fire Department",141031.140000
"Back Bay","BPS Carter Center",128434.090000
"Back Bay","Boston Fire Department",128362.550000
"Back Bay","Traffic Division",124965.010000
"Back Bay","Neighborhood Development",115503.340000
"Back Bay","UP "Unlocking Potential"" Acad"",111589.810000
"Back Bay","BPS Quincy Elementary",110166.350000
"Back Bay","Boston Fire Department",106863.430000
"Back Bay","BPS Special Education",106131.140000
"Back Bay","Boston Public Library",103964.360000
"Back Bay","BPS Winship Elementary",103666.070000
"Back Bay","Law Department",102660.780000
"Back Bay","BPS East Boston High",102051.140000
"Back Bay","Info & Instr Technology",101819.210000
"Back Bay","Warren/Prescott K-8",99789.740000
"Back Bay","Young Achievers K-8",99615.870000
"Back Bay","Boston City Council",99499.920000
"Back Bay","BPS Sumner Elementary",95132.360000
"Back Bay","BPS McKinley Middle",92831.650000
"Back Bay","Research Assess & Eval",91779.630000
"Back Bay","BPS Condon Elementary",91561.000000
"Back Bay","ASD Human Resources",91317.290000
"Back Bay","Boston Public Library",90711.970000
"Back Bay","Boston Police Department",88494.570000
"Back Bay","Green Academy",88368.580000
"Back Bay","BPS Human Resource Team",88249.820000
"Back Bay","Edison K-8",87978.860000
"Back Bay","BPS Conley Elementary",86783.670000
"Back Bay","BPS Labor Relations",86102.490000
"Back Bay","Boston Police Department",84250.190000
"Back Bay","Boston Police Department",84173.990000
"Back Bay","Chief Financial Officer",80864.880000
"Back Bay","Consumer Affairs & Licensing",80560.190000
"Back Bay",Accountability,79354.400000
"Back Bay","BPS Counseling Service",78346.570000
"Back Bay","Eliot K-8",77089.400000
"Back Bay","Curley K-8",75228.990000
"Back Bay","BPS Clap Elementary",74358.970000
"Back Bay","BPS Guild Elementary",73934.470000
"Back Bay","Law Department",72921.470000
