NeighborhoodName,AverageRent
Allston,2830.200000
"Back Bay",3907.600000
"Bay Village",3622.800000
"Beacon Hill",3491.800000
Brighton,2830.200000
Charlestown,3122.200000
Chinatown,3717.800000
Dorchester,2756.200000
"Downtown Boston",3781.800000
"East Boston",2511.400000
"Fenway - Kenmore",3500.200000
"Jamaica Plain",2687.200000
"Mission Hill",3381.400000
"North End Boston",4224.000000
Roslindale,2267.400000
Roxbury,2275.400000
"South Boston",3800.600000
"South End Boston",3367.000000
"West End Boston",3544.600000
