CommunityCenterId,CommunityCenterName,Address,Neighborhood,Zip
1,Pino,86 Boardman St.,East Boston,2128
2,Paris Street Pool*,113 Paris St.,East Boston,2128
3,Paris Street,112 Paris St.,East Boston,2128
4,Golden Age Center,382 Main St.,Charlestown,2129
5,Charlestown*,255 Medford St.,Charlestown,2129
6,Nazzaro,30 N. Bennet St.,Boston,2113
7,Quincy*,885 Washington St,Boston,2111
8,Condon*,"200 ""D"" St.",South Boston,2127
9,Tynan,650 E. Fourth St.,South Boston,2127
10,Curley,1663 Columbia Rd.,South Boston,2127
11,Vine Street,339 Dudley Street,Roxbury,2119
12,Blackstone*,50 W. Brookline S,Boston,2118
13,Rec. Division @ Madison Park*,55 Malcom X Blvd,Roxbury,2119
14,Tobin,1481 Tremont St.,Roxbury,2119
15,Hennigan*,200 Heath St.,Jamaica Plai,2130
16,Shelburne,2730 Washington S,Roxbury,2119
17,Holland*,85 Olney St.,Dorchester,2121
18,Perkins*,155 Talbot Ave.,Dorchester,2124
19,Cleveland,11 Charles St.,Dorchester,2122
20,Leahy-Holloran*,1 Worrell St.,Dorchester,2122
21,Gallivan,61 Woodruff Way,Mattapan,2126
22,Mildred Avenue*,5 Mildred Ave.,Mattapan,2126
23,Hyde Park,1179 River St.,Hyde Park,2136
24,Curtis Hall*,20 South St.,Jamaica Plai,2130
25,Roslindale,6 Cummins Hwy.,Roslindale,2131
26,Flaherty Pool*,160 Florence St.,Roslindale,2131
27,Menino,125 Brookway Rd.,Roslindale,2131
28,Roche,1716 Centre St.,West Roxbury,2132
29,Draper Pool*,5279 Washington S,West Roxbury,2132
30,Ohrenberger,175 W. Boundary R,West Roxbury,2132
31,Jackson/Mann,500 Cambridge St.,Allston,2134
32,Mirabella Pool*,475 Commercial St,Boston,2113
33,Clougherty Pool*,Bunker Hill St.,Charlestown,2129
34,Grove Hall,51 Geneva Ave.,Roxbury,2121
35,Mason Pool*,159 Norfolk Ave.,Roxbury,2118
36,Mattahunt,100 Hebron St,Mattapan,2126
