PrivateSchoolId,PrivateSchoolName,Address,NeighborhoodName,Zip,Phone,Fax,SchoolType
57,German International School Boston,57 Holton Street,Allston,2134,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7"
2,Helen Davis Leadership Academy Charter Public School,23 Leonard Street,Boston,2122,617-474-7950,617-474-7957,"6,7,8"
4,EDCO Collaborative - EDCO YOUTH ALT,"650 Beacon St , 3rd Floor",Boston,2215,617-262-9562,617-262-0098, 
12,MATCH Charter Public High School,1001 Commonwealth Avenue,Boston,2215,617-232-0300,617-232-2838,"9,10,11,12"
14,Cathedral High,74 Union Park,Boston,2118,617-542-2325,617-542-1745,"9,10,11,12"
15,The Advent School,15 Brimmer Street,Boston,2108,617-742-0520,--,"K,1,2,3,4,5,6"
16,St John Elementary,9 Moon,Boston,2113,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8"
23,Commonwealth School,151 Commonwealth Avenue,Boston,2116,617-266-7525,--,"9,10,11,12"
24,The Learning Project,107 Marlborough Street,Boston,2115,617-266-8427,--,"K,1,2,3,4,5,6"
25,The Newman School,247 Marlborough Street,Boston,2116,617-267-4530,617-267-7070,"9,10,11,12"
41,Park Street School,67 Brimmer Street,Boston,2108,617-523-7577,617-523-7576,"K,1,2,3,4,7"
42,Manville School,53 Parker Hill Ave,Boston,2120,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11"
51,The Kingsley Montessori School,30 Fairfield Street,Boston,2116,617-226-4900,--,"PK,K,1,2,3,4,5,6"
52,The Winsor School,103 Pilgrim Rd,Boston,2215,617-735-9500,--,"5,6,7,8,9,10,11,12"
53,Boston University Academy,1 University Road,Boston,2215,617-353-9000,617-353-8999,"9,10,11,12"
56,Boston Trinity Academy,17 Hale St.,Boston,2136,617-364-3700,617-364-3800,"6,7,8,9,10,11,12"
21,Saint Joseph Preparatory High School,617 Cambridge,Brighton,2135,617-254-8383,617-254-0240,"9,10,11,12"
33,St Columbkille Elem,25 Arlington Street,Brighton,2135,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8"
44,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,2135,617-787-2200,617-787-4693,"PK,K,1,2,3,4"
54,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,2135,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12"
79,Good Shepherd School,20 Winthrop Street,Charlestown,2129,617-242-8800,617-242-0016,PK
6,Boston Collegiate Charter School (Middle and High School),11 Mayhew Street,Dorchester,2125,617-265-1172,617-265-1176,"5,6,7,8,9,10,11,12"
9,Codman Academy Charter Public School,637 Washington Street,Dorchester,2124,617-287-0700,617-287-9064,"9,10,11,12"
13,Neighborhood House Charter School,21 Queen Street,Dorchester,2122,617-825-0703,617-825-1829,"PK,K,1,2,3,4,5,6,7,8"
18,Pope John Paul II Academy (Lower MIlls),2200 Dorchester Avenue,Dorchester,2124,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8"
20,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,2122,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8"
36,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,2121,617-427-1177,617-427-7788,"5,6,7,8"
39,Parkside Christian Academy,670 Washington Street,Dorchester,2124,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8"
43,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,2125,617-825-2580,617-825-2613,"9,10,11,12"
48,St Brendan Elementary,29 Rita Rd,Dorchester,2124,617-282-3388,--,"K,1,2,3,4,5,6,7,8"
50,Epiphany School,154 Centre Street,Dorchester,2124,617-326-0425,617-326-0424,"5,6,7,8"
55,Boston College High,150 Morrissey Blvd,Dorchester,2125,617-474-5010,617-474-5015,"9,10,11,12"
58,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,2125,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8"
60,St Matthew Elementary,33 Stanton Street,Dorchester,2124,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8"
