,,,,,,,,,,,,,,,,,,,,
Back Bay,1950,,1960,,1970,,1980,,1990,,2000,,2010,,,,,,2006-2010,2011-2015
Population,"21,228",,"18,154",,"18,117",,"18,336",,"16,705",,"16,681",,"16,622",,,,,,"17,879","17,577"
Age,,,,,,,,,,,,,,,,,,,,
0-9 years,"1,040",5%,576,3%,462,3%,321,2%,441,3%,491,3%,713,4%,,,,,725,756
10-19 years,"1,422",7%,"1,793",10%,"2,799",15%,"1,979",11%,"1,218",7%,"1,380",8%,"1,149",7%,,,,,"1,931","1,372"
20-34 years,"6,696",32%,"6,260",34%,"8,329",46%,"9,945",54%,"8,706",52%,"7,653",46%,"7,501",45%,,,,,"7,816","7,681"
35-54 years,"6,038",28%,"3,918",22%,"2,704",15%,"3,151",17%,"3,879",23%,"4,243",25%,"3,593",22%,,,,,"3,365","3,229"
55-64 years,"2,661",13%,"2,495",14%,"1,575",9%,"1,141",6%,"1,071",6%,"1,432",9%,"1,689",10%,,,,,"2,006","1,973"
65 years and over,"3,371",16%,"3,112",17%,"2,248",12%,"1,799",10%,"1,390",8%,"1,482",9%,"1,977",12%,,,,,"2,036","2,566"
Educational Attainment (age 25+),,,,,,,,,,,,,-,,,,,,,
less than High School,"4,735",33%,"3,823",30%,"1,649",17%,831,7%,407,3%,337,3%,-,,,,,,104,325
High School or GED,"4,445",31%,"3,049",24%,"2,630",27%,"1,675",14%,751,6%,717,6%,-,,,,,,621,613
Some College or Associate's Degree,"2,355",16%,"2,236",18%,"1,914",20%,"2,111",18%,"1,788",15%,"1,287",10%,-,,,,,,728,"1,002"
Bachelor's Degree or Higher,"2,870",20%,"3,450",27%,"3,606",37%,"7,420",62%,"8,698",75%,"10,051",81%,-,,,,,,"10,973","11,659"
Nativity,,,,,,,,,,,,,,,,,,,,
Foreign Born,"3,227",15%,"2,363",13%,"1,756",10%,"1,994",11%,"2,062",12%,"2,814",17%,-,,,,,,"3,063","3,585"
Race/ Ethnicity,,,,,,,,,,,,,,,,,,,,
White,"20,627",97.2%,"17,100",94.2%,"16,345",90.2%,"16,140",88%,"14,507",87%,"13,870",83%,"13,096",79%,,,,,"14,469","13,432"
Black/ African American,533,2.5%,837,4.6%,"1,046",5.8%,"1,048",6%,745,4%,614,4%,661,4%,,,,,593,811
Hispanic,,0.0%,,0.0%,395,2.2%,621,3%,652,4%,730,4%,943,6%,,,,,922,"1,427"
Asian/PI,,0.0%,,0.0%,233,1.3%,389,2%,746,4%,"1,101",7%,"1,564",9%,,,,,"1,614","1,606"
Other,68,0.3%,217,1.2%,98,0.5%,138,1%,55,0%,366,2%,358,2%,,,,,281,301
Labor Force (age 16+),,,,,,,,,,,,,,,,,,,,
Male,"5,275",48%,"5,349",45%,"5,304",46%,"6,331",52%,"5,846",50%,"6,662",55%,-,,,,,,"6,313","5,542"
Female,"5,653",52%,"6,564",55%,"6,314",54%,"5,897",48%,"5,908",50%,"5,433",45%,-,,,,,,"5,155","5,988"
Housing Tenure,,,,,,,,,,,,,,,,,,,,
Occupied Housing Units,"6,356",,"8,741",,"9,206",,"10,043",,"9,670",,"10,053",,"9,829",,,,,,"9,770","9,900"
Owner-occupied,521,8%,569,7%,388,4%,"1,812",18%,"2,780",29%,"3,097",31%,"3,230",33%,,,,,"3,302","3,292"
Renter-occupied,"5,835",92%,"8,172",93%,"8,818",96%,"8,231",82%,"6,890",71%,"6,956",69%,"6,599",67%,,,,,"6,468","6,608"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, NHGIS, BPDA Research Division Analysis",,,,,,,,,,,,,,,,,,,,
Note: Some variables are not available in the 2010 Decennial Census,,,,,,,,,,,,,,,,,,,,
