,,,,,,,,,,,,,,,,,,,,
Charlestown,1950,,1960,,1970,,1980,,1990,,2000,,2010,,,,,,2006-2010,2011-2015
Population,"31,332",,"20,147",,"15,353",,"13,364",,"14,548",,"15,195",,"16,439",,,,,,"16,602","18,058"
Age,,,,,,,,,,,,,,,,,,,,
0-9 years,"5,523",18%,"4,232",21%,"2,687",18%,"1,435",11%,"1,485",10%,"1,661",11%,"1,806",11%,,,,,"2,206","2,559"
10-19 years,"5,531",18%,"3,623",18%,"3,125",20%,"2,212",17%,"1,211",8%,"1,413",9%,"1,108",7%,,,,,"1,137","1,256"
20-34 years,"9,621",31%,"3,872",19%,"3,007",20%,"3,863",29%,"5,441",37%,"5,043",33%,"5,494",33%,,,,,"5,204","5,754"
35-54 years,"6,458",21%,"4,592",23%,"3,307",22%,"2,859",21%,"3,490",24%,"4,217",28%,"4,668",28%,,,,,"4,527","4,774"
55-64 years,"2,097",7%,"1,826",9%,"1,525",10%,"1,336",10%,"1,311",9%,"1,218",8%,"1,679",10%,,,,,"1,766","2,006"
65 years and over,"2,102",7%,"2,002",10%,"1,702",11%,"1,659",12%,"1,610",11%,"1,643",11%,"1,684",10%,,,,,"1,762","1,709"
Educational Attainment (age 25+),,,,,,,,,,,,,,,,,,,,
less than High School,"10,595",66%,"7,238",66%,"4,549",55%,"2,999",36%,"1,751",17%,"1,466",13%,-,,,,,,702,"1,213"
High School or GED,"4,490",28%,"3,074",28%,"3,036",37%,"3,239",39%,"2,744",26%,"2,341",21%,-,,,,,,"2,924","2,147"
Some College or Associate's Degree,545,3%,289,3%,382,5%,846,10%,"1,817",17%,"1,767",16%,-,,,,,,"1,250","1,762"
Bachelor's Degree or Higher,375,2%,287,3%,324,4%,"1,230",15%,"4,124",40%,"5,820",51%,-,,,,,,"7,607","8,367"
Nativity,,,,,,,,,,,,,,,,,,,,
Foreign Born,"3,157",10%,"1,892",9%,"1,057",7%,845,6%,725,5%,"2,111",14%,-,,,,,,"2,313","3,136"
Race/ Ethnicity,,,,,,,,,,,,,,,,,,,,
White,"30,922",98.7%,"20,030",99.4%,"14,704",95.8%,"13,034",98%,"13,785",95%,"11,946",79%,"12,458",76%,,,,,"12,860","12,575"
Black/ African American,323,1.0%,30,0.1%,76,0.5%,24,0%,85,1%,539,4%,764,5%,,,,,"1,009","1,557"
Hispanic,,0.0%,,0.0%,430,2.8%,124,1%,306,2%,"1,764",12%,"1,591",10%,,,,,"1,218","1,980"
Asian/PI,,0.0%,,0.0%,108,0.7%,124,1%,313,2%,761,5%,"1,344",8%,,,,,"1,191","1,578"
Other,87,0.3%,87,0.4%,35,0.2%,58,0%,59,0%,185,1%,282,2%,,,,,324,368
Labor Force (age 16+),,,,,,,,,,,,,,,,,,,,
Male,"11,233",78%,"4,985",64%,"3,926",62%,"3,688",56%,"4,243",47%,"4,119",47%,-,,,,,,"5,000","5,475"
Female,"3,077",22%,"2,782",36%,"2,447",38%,"2,861",44%,"4,750",53%,"4,612",53%,-,,,,,,"5,173","5,718"
Housing Tenure,,,,,,,,,,,,,,,,,,,,
Occupied Housing Units,"6,738",,"5,978",,"4,818",,"5,252",,"6,841",,"7,350",,"8,033",,,,,,"7,864","8,457"
Owner-occupied,"1,589",24%,"1,672",28%,"1,561",32%,"1,685",32%,"2,259",33%,"3,039",41%,"3,719",46%,,,,,"3,687","3,618"
Renter-occupied,"5,149",76%,"4,306",72%,"3,257",68%,"3,567",68%,"4,582",67%,"4,311",59%,"4,314",54%,,,,,"4,177","4,839"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, NHGIS, BPDA Research Division Analysis",,,,,,,,,,,,,,,,,,,,
Note: Some variables are not available in the 2010 Decennial Census,,,,,,,,,,,,,,,,,,,,
