,,,,,,,,,,,,,,,,,,,,
Harbor Islands,1950,,1960,,1970,,1980,,1990,,2000,,2010,,,,,,2006-2010,2011-2015
Population,"2,144",,"1,812",,"1,241",,510,,"1,282",,640,,535,,,,,,345,329
Age,,,,,,,,,,,,,,,,,,,,
0-9 years,18,1%,9,0%,15,1%,1,0%,1,0%,5,1%,4,1%,,,,,0,0
10-19 years,112,5%,151,8%,176,14%,31,6%,60,5%,10,2%,10,2%,,,,,0,5
20-34 years,313,15%,350,19%,288,23%,194,38%,736,57%,156,24%,100,19%,,,,,51,127
35-54 years,661,31%,545,30%,276,22%,63,12%,280,22%,383,60%,324,61%,,,,,228,94
55-64 years,400,19%,351,19%,205,17%,42,8%,57,4%,64,10%,82,15%,,,,,66,70
65 years and over,640,30%,406,22%,281,23%,179,35%,148,12%,22,3%,15,3%,,,,,0,33
Educational Attainment (age 25+),,,,,,,,,,,,,,,,,,,,
less than High School,535,75%,"1,038",67%,782,84%,59,17%,623,65%,285,46%,-,,,,,,27,89
High School or GED,105,15%,399,26%,85,9%,107,31%,232,24%,168,27%,-,,,,,,232,91
Some College or Associate's Degree,60,8%,71,5%,38,4%,22,6%,83,9%,133,21%,-,,,,,,59,55
Bachelor's Degree or Higher,10,1%,36,2%,27,3%,161,46%,27,3%,40,6%,-,,,,,,27,11
Nativity,,,,,,,,,,,,,,,,,,,,
Foreign Born,588,27%,266,15%,160,13%,44,9%,112,9%,52,8%,-,,,,,,61,34
Race/ Ethnicity,,,,,,,,,,,,,,,,,,,,
White,"2,029",94.6%,"1,614",89.1%,980,79.0%,342,67%,482,38%,260,41%,165,31%,,,,,132,122
Black/ African American,111,5.2%,189,10.4%,256,20.6%,139,27%,626,49%,244,38%,204,38%,,,,,143,118
Hispanic,,0.0%,,0.0%,0,0.0%,22,4%,156,12%,120,19%,134,25%,,,,,70,65
Asian/PI,,0.0%,,0.0%,1,0.1%,3,1%,7,1%,5,1%,9,2%,,,,,0,0
Other,4,0.2%,9,0.5%,4,0.3%,4,1%,11,1%,11,2%,23,4%,,,,,0,24
Labor Force (age 16+),,,,,,,,,,,,,,,,,,,,
Male,136,57%,114,62%,70,74%,6,100%,120,85%,413,88%,-,,,,,,182,47
Female,102,43%,69,38%,25,26%,0,0%,22,15%,59,13%,-,,,,,,10,49
Housing Tenure,,,,,,,,,,,,,,,,,,,,
Occupied Housing Units,14,,20,,38,,0,,0,,0,,0,,,,,,0,0
Owner-occupied,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,,,0,0
Renter-occupied,14,100%,20,100%,38,100%,0,0%,0,0%,0,0%,0,0%,,,,,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, NHGIS, BPDA Research Division Analysis",,,,,,,,,,,,,,,,,,,,
Note: Some variables are not available in the 2010 Decennial Census,,,,,,,,,,,,,,,,,,,,
