,,,,,,,,,,,,,,
DemographicsId,NeighborhoodName,Population,ForeignBorn,FemaleLaborForce,MaleLaborForce,Occupied Housing Units,OwnerOccupiedUnits,RenterOccupiedUnits,AgeRange,AgePercentage,EthnicityType,EthnicPopulation,EdType,EdPopulation
,West Roxbury,32795,"6,784 ","9,168 ","8,962 ","13,367 ","8,513 ","4,854 ",0-9 years,"4,209 ",White,"24,056 ",less than High School,"1,552 "
,,,,,,,,,10-19 years,"3,211 ",Black/ African American,"2,894 ",High School or GED,"5,139 "
,,,,,,,,,20-34 years,"5,420 ",Hispanic,"2,921 ",Some College or Associate's Degree,"4,985 "
,,,,,,,,,35-54 years,"9,884 ",Asian/PI,"2,314 ",Bachelor's Degree or Higher,"12,601 "
,,,,,,,,,55-64 years,"4,359 ",Other,610 ,,
,,,,,,,,,65 years and over,"5,712 ",,,,
,,,,,,,,,,,,,,
,West End,"5,945 ","1,378 ","1,636 ","1,921 ","3,011 ",669 ,"2,342 ",0-9 years,364 ,White,"3,616 ",less than High School,223 
,,,,,,,,,10-19 years,297 ,Black/ African American,319 ,High School or GED,397 
,,,,,,,,,20-34 years,"2,415 ",Hispanic,711 ,Some College or Associate's Degree,538 
,,,,,,,,,35-54 years,"1,622 ",Asian/PI,"1,114 ",Bachelor's Degree or Higher,"3,522 "
,,,,,,,,,55-64 years,522 ,Other,185 ,,
,,,,,,,,,65 years and over,725 ,,,,
,,,,,,,,,,,,,,
,South End,"31,601","7,076","9,245","10,655","15,778","6,216","9,562",0-9 years,"2,752",White,"17,425",less than High School,"3,149"
,,,,,,,,,10-19 years,"1,841",Black/ African American,"3,722",High School or GED,"2,755"
,,,,,,,,,20-34 years,"11,211",Hispanic,"4,359",Some College or Associate's Degree,"2,824"
,,,,,,,,,35-54 years,"8,885",Asian/PI,"5,184",Bachelor's Degree or Higher,"16,045"
,,,,,,,,,55-64 years,"3,172",Other,911,,
,,,,,,,,,65 years and over,"3,740",,,,
,,,,,,,,,,,,,,
,South Boston,"35,660","4,263","11,919","11,647","16,028","5,891","10,137",0-9 years,"2,680",White,"27,712",less than High School,"2,951"
,,,,,,,,,10-19 years,"2,671",Black/ African American,"1,837",High School or GED,"5,467"
,,,,,,,,,20-34 years,"15,716",Hispanic,"3,742",Some College or Associate's Degree,"3,780"
,,,,,,,,,35-54 years,"8,216",Asian/PI,"1,616",Bachelor's Degree or Higher,"15,622"
,,,,,,,,,55-64 years,"3,217",Other,753,,
,,,,,,,,,65 years and over,"3,160",,,,
,,,,,,,,,,,,,,
,South Boston Waterfront,"2,862",502,"1,042","1,265","1,421",678,743,0-9 years,94,White,"2,410",less than High School,35
,,,,,,,,,10-19 years,67,Black/ African American,44,High School or GED,286
,,,,,,,,,20-34 years,"1,380",Hispanic,27,Some College or Associate's Degree,202
,,,,,,,,,35-54 years,800,Asian/PI,295,Bachelor's Degree or Higher,"1,912"
,,,,,,,,,55-64 years,286,Other,86,,
,,,,,,,,,65 years and over,235,,,,
,,,,,,,,,,,,,,
,Roxbury,"51,252","13,449","13,009","10,804","18,877","3,507","15,370",0-9 years,"6,844",White,"5,576",less than High School,"7,680"
,,,,,,,,,10-19 years,"7,959",Black/ African American,"27,188",High School or GED,"8,766"
,,,,,,,,,20-34 years,"14,228",Hispanic,"14,848",Some College or Associate's Degree,"7,540"
,,,,,,,,,35-54 years,"12,277",Asian/PI,"1,616",Bachelor's Degree or Higher,"6,223"
,,,,,,,,,55-64 years,"4,879",Other,"2,024",,
,,,,,,,,,65 years and over,"5,065",,,,
,,,,,,,,,,,,,,
,Roslindale,"28,644","7,128","9,560","7,829","11,107","6,178","4,929",0-9 years,"3,601",White,"14,617",less than High School,"2,336"
,,,,,,,,,10-19 years,"2,742",Black/ African American,"6,048",High School or GED,"4,995"
,,,,,,,,,20-34 years,"6,099",Hispanic,"6,483",Some College or Associate's Degree,"4,652"
,,,,,,,,,35-54 years,"9,069",Asian/PI,505,Bachelor's Degree or Higher,"8,721"
,,,,,,,,,55-64 years,"3,697",Other,991,,
,,,,,,,,,65 years and over,"3,436",,,,
,,,,,,,,,,,,,,
,North End,"9,107","1,143","3,463","3,581","5,344","1,475","3,869",0-9 years,285,White,"8,270",less than High School,410
