DepartmentName,JobTitle,Zip,Salary
Boston Police Department,Police Lieutenant (Det),2043,"$129,530.83"
Boston Police Department,Office Manager,2132,"$56,921.80"
Boston Police Department,Police Lieutenant,2021,"$124,056.64"
Boston Police Department,Police Detective,2062,"$94,956.25"
Boston Police Department,Tape Librarian I (BPD),2190,"$69,995.34"
Boston Police Department,Police Offc/Hosp Liaison 4$10,2131,"$12,756.79"
Boston Police Department,Police Officer,2339,"$93,180.42"
Boston Police Department,Police Captain/DDC,2339,
Boston Police Department,Police Sergeant (Det),2492,"$13,827.39"
Boston Police Department,PoliceSergeant/SupvCourtCases,2134,"$107,599.31"
Boston Police Department,Police Officer,2043,"$93,180.42"
Boston Police Department,Police Officer,2148,"$48,017.69"
Boston Police Department,Police Detective,2186,"$103,987.91"
Boston Police Department,Police Detective,1905,
Boston Police Department,Police Officer,2119,
Boston Police Department,Police Detective,2066,($380.71)
Boston Police Department,ChCommEquipOper I (SCTT),2131,"$58,005.80"
Boston Police Department,Police Detective,2126,"$97,413.67"
Boston Police Department,Police Officer,2169,"$93,180.42"
Boston Police Department,Police Captain/DDC,2190,"$146,894.28"
Boston Police Department,Police Sergeant (Det),2339,"$117,408.98"
Boston Police Department,Police Detective,2043,"$94,956.25"
Boston Police Department,Police Lieutenant,2155,"$125,070.42"
Boston Police Department,PoliceSergeant/SupvCourtCases,2045,"$14,119.37"
Boston Police Department,Police Captain-DDC/HRCD,2339,"$149,242.34"
Boston Police Department,Jr  Building Custodian,2132,"$44,002.60"
Boston Police Department,ChCommEquipOper I (SCTT),2066,"$58,497.74"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2186,"$16,371.52"
Boston Police Department,Police Officer Hdq Dispatch,2135,"$103,890.60"
Boston Police Department,Police Detective,2127,"$23,183.91"
Boston Police Department,Police Detective,1801,"$97,413.67"
Boston Police Department,Police Sergeant/Pd Det Serv,2081,"$75,355.35"
Boston Police Department,Police Officer,2127,"$101,680.60"
Boston Police Department,Police Detective,2038,"$97,413.67"
Boston Police Department,Police Sergeant (Det),2124,"$116,108.98"
Boston Police Department,Commissioner (Bpd),2127,"$229,999.90"
Boston Police Department,ChCommEquipOper I (SCTT),2122,"$53,145.86"
Boston Police Department,Buyer,2124,"$64,007.38"
Boston Police Department,Exec Asst (BPD),2122,"$119,025.10"
Boston Police Department,Police Dispatcher,2152,"$76,066.57"
Boston Police Department,Police Dispatcher,2131,"$70,743.19"
Boston Police Department,Dep Supn (Bpd),2081,"$57,603.18"
Boston Police Department,Police Detective,2093,"$94,956.25"
Boston Police Department,Police Clerk And Typist,2125,"$46,817.70"
Boston Police Department,Police Officer,2062,"$47,440.85"
Boston Police Department,Police Sergeant (Det),2043,"$81,118.67"
Boston Police Department,Police Lieutenant (Det),2171,"$129,530.83"
Boston Police Department,Police Officer,2189,"$101,680.60"
Boston Police Department,Police Captain/DDC,2050,"$146,893.76"
Boston Police Department,Police Officer,2184,"$101,680.60"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2127,"$102,122.60"
Boston Police Department,Police Captain/DDC,2132,"$146,893.76"
Boston Police Department,Police Officer,2171,"$93,180.42"
Boston Police Department,Police Sergeant,2124,"$110,788.99"
Boston Police Department,Lieut-Hackney Carriage Inves.,2050,"$123,953.96"
Boston Police Department,Police Offc Hackney Invest 3$8,2171,"$102,122.60"
Boston Police Department,Police Officer,2132,"$101,680.60"
Boston Police Department,Police Detective,1960,"$94,956.25"
Boston Police Department,Police Sergeant (Det),2130,"$113,179.69"
Boston Police Department,Police Lieutenant,2061,"$134,357.14"
Boston Police Department,Police Officer,2124,"$100,210.65"
Boston Police Department,Police Sergeant (Det),2152,"$113,179.69"
Boston Police Department,Police Officer,1906,"$92,370.46"
Boston Police Department,Police Detective,1772,"$94,956.25"
Boston Police Department,Police Detective,2453,"$70,650.51"
Boston Police Department,Police Detective,2118,"$97,413.67"
Boston Police Department,Police Offc Canine 2$6,2324,"$102,012.10"
Boston Police Department,Police Officer,1835,"$101,680.60"
Boston Police Department,Police Offc Bomb Squad,2191,"$6,888.95"
Boston Police Department,Police Detective,1887,"$97,413.67"
Boston Police Department,Police Detective,2135,"$103,987.91"
Boston Police Department,Police Sergeant/Comm Serv Offc,2131,"$106,320.16"
Boston Police Department,Police Sergeant (Det),2090,"$113,179.69"
Boston Police Department,Police Officer,2093,"$93,180.42"
Boston Police Department,Police Officer,2038,"$99,527.70"
Boston Police Department,Police Capt/DDC-Hackney Inves,2032,"$142,961.00"
Boston Police Department,Police Detective,2081,"$94,956.25"
Boston Police Department,Police Sergeant,2035,"$110,031.40"
Boston Police Department,Dep Supn (Bpd),2025,"$73,111.73"
Boston Police Department,Police Sergeant (Det),2333,"$122,211.31"
Boston Police Department,Police Sergeant (Det),2127,"$113,179.69"
Boston Police Department,Police Detective,2356,"$3,411.18"
Boston Police Department,Police Officer,2130,"$91,540.18"
Boston Police Department,Police Officer,2121,"$12,711.79"
Boston Police Department,Police Offc Hackney Invest 3$8,2368,"$100,680.29"
Boston Police Department,PoliceSergeant/SupvCourtCases,2128,($389.49)
Boston Police Department,Police Sergeant (Det),2121,"$67,774.01"
Boston Police Department,Police Sergeant (Det),2119,"$100,347.58"
Boston Police Department,Police Sergeant/AcadInstructor,2186,"$107,599.31"
Boston Police Department,Police Sergeant (Det),2324,"$113,179.69"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2330,"$100,680.29"
Boston Police Department,Police Officer,1560,"$89,981.91"
Boston Police Department,Police Offc/Bomb Squad,2169,"$80,082.42"
Boston Police Department,Police Sergeant (Det),2026,"$115,189.99"
Boston Police Department,Police Sergeant,2184,"$108,444.01"
Boston Police Department,Police Offc/Juvenile Offc 4$10,2333,
Boston Police Department,Prin Admin Asst,2351,"$107,497.85"
Boston Police Department,Public Relations Rep(Bpd),2118,"$46,817.70"
Boston Police Department,Police Officer,2186,"$3,208.92"
Boston Police Department,Police Officer,2136,"$93,180.42"
Boston Police Department,Police Offc Comm Serv Offc 3$8,2184,"$93,622.42"
Boston Police Department,Police Detective,2184,"$97,413.67"
Boston Police Department,Police Officer,1905,"$91,179.36"
Boston Police Department,Police Lieutenant,2124,"$136,221.15"
Boston Police Department,Police Sergeant (Det),2169,"$12,550.09"
Boston Police Department,Police Lieutenant (Det),2035,"$129,530.83"
Boston Police Department,Supn Bpd,2050,"$179,864.28"
Boston Police Department,Police Sergeant (Det),2061,"$116,108.98"
Workers Compensation Service,Workers Comp Job Classificatn,2122,
Boston Police Department,Police Officer,2190,"$92,762.16"
Boston Police Department,Police Dispatcher,2301,"$75,890.55"
Boston Police Department,Police Sergeant,2359,"$109,781.75"
Boston Police Department,Police Officer,2368,"$100,783.56"
Boston Police Department,Police Lieutenant,1969,"$127,142.92"
Boston Police Department,Police Officer,2135,"$101,680.60"
Boston Police Department,Police Lieutenant (Det),2184,"$129,426.11"
Boston Police Department,Police Detective,2134,"$97,413.67"
Boston Police Department,Supn Bpd,2130,"$164,568.20"
Boston Police Department,Police Detective,2050,"$49,462.13"
