DepartmentName,JobTitle,Salary,Zip
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Office Manager,"$56,921.80",
Boston Police Department,Police Lieutenant,"$124,056.64",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Tape Librarian I (BPD),"$69,995.34",
Boston Police Department,Police Offc/Hosp Liaison 4$10,"$12,756.79",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Captain/DDC,,
Boston Police Department,Police Sergeant (Det),"$13,827.39",
Boston Police Department,PoliceSergeant/SupvCourtCases,"$107,599.31",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Officer,"$48,017.69",
Boston Police Department,Police Detective,"$103,987.91",
Boston Police Department,Police Detective,,
Boston Police Department,Police Officer,,
Boston Police Department,Police Detective,($380.71),
Boston Police Department,ChCommEquipOper I (SCTT),"$58,005.80",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Captain/DDC,"$146,894.28",
Boston Police Department,Police Sergeant (Det),"$117,408.98",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Lieutenant,"$125,070.42",
Boston Police Department,PoliceSergeant/SupvCourtCases,"$14,119.37",
Boston Police Department,Police Captain-DDC/HRCD,"$149,242.34",
Boston Police Department,Jr  Building Custodian,"$44,002.60",
Boston Police Department,ChCommEquipOper I (SCTT),"$58,497.74",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$16,371.52",
Boston Police Department,Police Officer Hdq Dispatch,"$103,890.60",
Boston Police Department,Police Detective,"$23,183.91",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Sergeant/Pd Det Serv,"$75,355.35",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Sergeant (Det),"$116,108.98",
Boston Police Department,Commissioner (Bpd),"$229,999.90",
Boston Police Department,ChCommEquipOper I (SCTT),"$53,145.86",
Boston Police Department,Buyer,"$64,007.38",
Boston Police Department,Exec Asst (BPD),"$119,025.10",
Boston Police Department,Police Dispatcher,"$76,066.57",
Boston Police Department,Police Dispatcher,"$70,743.19",
Boston Police Department,Dep Supn (Bpd),"$57,603.18",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Clerk And Typist,"$46,817.70",
Boston Police Department,Police Officer,"$47,440.85",
Boston Police Department,Police Sergeant (Det),"$81,118.67",
Boston Police Department,Police Lieutenant (Det),"$129,530.83",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Captain/DDC,"$146,893.76",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Offc Comm Serv Offc 3$8,"$102,122.60",
Boston Police Department,Police Captain/DDC,"$146,893.76",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Sergeant,"$110,788.99",
Boston Police Department,Lieut-Hackney Carriage Inves.,"$123,953.96",
Boston Police Department,Police Offc Hackney Invest 3$8,"$102,122.60",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Lieutenant,"$134,357.14",
Boston Police Department,Police Officer,"$100,210.65",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Officer,"$92,370.46",
Boston Police Department,Police Detective,"$94,956.25",
Boston Police Department,Police Detective,"$70,650.51",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Offc Canine 2$6,"$102,012.10",
Boston Police Department,Police Officer,"$101,680.60",
Boston Police Department,Police Offc Bomb Squad,"$6,888.95",
Boston Police Department,Police Detective,"$97,413.67",
Boston Police Department,Police Detective,"$103,987.91",
Boston Police Department,Police Sergeant/Comm Serv Offc,"$106,320.16",
Boston Police Department,Police Sergeant (Det),"$113,179.69",
Boston Police Department,Police Officer,"$93,180.42",
Boston Police Department,Police Officer,"$99,527.70",
Boston Police Department,Police Capt/DDC-Hackney Inves,"$142,961.00",
Boston Police Department,Police Detective,"$94,956.25",
