DepartmentName,JobTitle,Zip,Salary,,,
Boston Police Department,Police Lieutenant (Det),02043,"$129,530.83 ",,,
Boston Police Department,Office Manager,02132,"$56,921.80 ",,,
Boston Police Department,Police Lieutenant,02021,"$124,056.64 ",,,
Boston Police Department,Police Detective,02062,"$94,956.25 ",,,
Boston Police Department,Tape Librarian I (BPD),02190,"$69,995.34 ",,,
Boston Police Department,Police Offc/Hosp Liaison 4$10,02131,"$12,756.79 ",,,
Boston Police Department,Police Officer,02339,"$93,180.42 ",,,
Boston Police Department,Police Captain/DDC,02339,,,,
Boston Police Department,Police Sergeant (Det),02492,"$13,827.39 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02134,"$107,599.31 ",,,
Boston Police Department,Police Officer,02043,"$93,180.42 ",,,
Boston Police Department,Police Officer,02148,"$48,017.69 ",,,
Boston Police Department,Police Detective,02186,"$103,987.91 ",,,
Boston Police Department,Police Detective,01905,,,,
Boston Police Department,Police Officer,02119,,,,
Boston Police Department,Police Detective,02066,($380.71),,,
Boston Police Department,ChCommEquipOper I (SCTT),02131,"$58,005.80 ",,,
Boston Police Department,Police Detective,02126,"$97,413.67 ",,,
Boston Police Department,Police Officer,02169,"$93,180.42 ",,,
Boston Police Department,Police Captain/DDC,02190,"$146,894.28 ",,,
Boston Police Department,Police Sergeant (Det),02339,"$117,408.98 ",,,
Boston Police Department,Police Detective,02043,"$94,956.25 ",,,
Boston Police Department,Police Lieutenant,02155,"$125,070.42 ",,,
Boston Police Department,PoliceSergeant/SupvCourtCases,02045,"$14,119.37 ",,,
Boston Police Department,Police Captain-DDC/HRCD,02339,"$149,242.34 ",,,
Boston Police Department,Jr  Building Custodian,02132,"$44,002.60 ",,,
Boston Police Department,ChCommEquipOper I (SCTT),02066,"$58,497.74 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02186,"$16,371.52 ",,,
Boston Police Department,Police Officer Hdq Dispatch,02135,"$103,890.60 ",,,
Boston Police Department,Police Detective,02127,"$23,183.91 ",,,
Boston Police Department,Police Detective,01801,"$97,413.67 ",,,
Boston Police Department,Police Sergeant/Pd Det Serv,02081,"$75,355.35 ",,,
Boston Police Department,Police Officer,02127,"$101,680.60 ",,,
Boston Police Department,Police Detective,02038,"$97,413.67 ",,,
Boston Police Department,Police Sergeant (Det),02124,"$116,108.98 ",,,
Boston Police Department,Commissioner (Bpd),02127,"$229,999.90 ",,,
Boston Police Department,ChCommEquipOper I (SCTT),02122,"$53,145.86 ",,,
Boston Police Department,Buyer,02124,"$64,007.38 ",,,
Boston Police Department,Exec Asst (BPD),02122,"$119,025.10 ",,,
Boston Police Department,Police Dispatcher,02152,"$76,066.57 ",,,
Boston Police Department,Police Dispatcher,02131,"$70,743.19 ",,,
Boston Police Department,Dep Supn (Bpd),02081,"$57,603.18 ",,,
Boston Police Department,Police Detective,02093,"$94,956.25 ",,,
Boston Police Department,Police Clerk And Typist,02125,"$46,817.70 ",,,
Boston Police Department,Police Officer,02062,"$47,440.85 ",,,
Boston Police Department,Police Sergeant (Det),02043,"$81,118.67 ",,,
Boston Police Department,Police Lieutenant (Det),02171,"$129,530.83 ",,,
Boston Police Department,Police Officer,02189,"$101,680.60 ",,,
Boston Police Department,Police Captain/DDC,02050,"$146,893.76 ",,,
Boston Police Department,Police Officer,02184,"$101,680.60 ",,,
Boston Police Department,Police Offc Comm Serv Offc 3$8,02127,"$102,122.60 ",,,
Boston Police Department,Police Captain/DDC,02132,"$146,893.76 ",,,
Boston Police Department,Police Officer,02171,"$93,180.42 ",,,
Boston Police Department,Police Sergeant,02124,"$110,788.99 ",,,
Boston Police Department,Lieut-Hackney Carriage Inves.,02050,"$123,953.96 ",,,
Boston Police Department,Police Offc Hackney Invest 3$8,02171,"$102,122.60 ",,,
Boston Police Department,Police Officer,02132,"$101,680.60 ",,,
Boston Police Department,Police Detective,01960,"$94,956.25 ",,,
Boston Police Department,Police Sergeant (Det),02130,"$113,179.69 ",,,
Boston Police Department,Police Lieutenant,02061,"$134,357.14 ",,,
Boston Police Department,Police Officer,02124,"$100,210.65 ",,,
Boston Police Department,Police Sergeant (Det),02152,"$113,179.69 ",,,
Boston Police Department,Police Officer,01906,"$92,370.46 ",,,
Boston Police Department,Police Detective,01772,"$94,956.25 ",,,
Boston Police Department,Police Detective,02453,"$70,650.51 ",,,
Boston Police Department,Police Detective,02118,"$97,413.67 ",,,
Boston Police Department,Police Offc Canine 2$6,02324,"$102,012.10 ",,,
Boston Police Department,Police Officer,01835,"$101,680.60 ",,,
Boston Police Department,Police Offc Bomb Squad,02191,"$6,888.95 ",,,
Boston Police Department,Police Detective,01887,"$97,413.67 ",,,
Boston Police Department,Police Detective,02135,"$103,987.91 ",,,
Boston Police Department,Police Sergeant/Comm Serv Offc,02131,"$106,320.16 ",,,
Boston Police Department,Police Sergeant (Det),02090,"$113,179.69 ",,,
Boston Police Department,Police Officer,02093,"$93,180.42 ",,,
