DepartmentName,JobTitle,Zip,Salary
Info & Instr Technology,Assistant Director,2109,"$129,045.02"
West Roxbury Academy,Teacher,2109,"$99,462.06"
BPS Facility Management,Sen Cust C/Nights,2109,"$60,990.01"
Boston Retirement System,Sr Accountant,2109,"$27,696.62"
Dpt of Innovation & Technology,Prin Data Proc Systems Analyst,2109,"$113,451.85"
Neighborhood Development,Sr Communications Spec,2109,"$84,395.73"
Boston Public Library,Spec Library Asst I,2109,"$51,171.85"
Boston Cntr - Youth & Families,Admin Coordinator (Com Sch),2109,"$92,022.30"
Traffic Division,Exec Asst,2109,"$124,965.01"
Boston Public Library,Library Aide,2109,"$5,081.00"
ASD Purchasing Division,Sr Admin Asst,2109,"$74,514.57"
BPS Boston Evening Academy,Nurse,2109,"$86,761.58"
Boston Public Library,Sr Library Asst,2109,"$42,715.40"
BPS Special Education,Teacher,2109,"$106,932.21"
BPS Labor Relations,Staff Asst (B),2109,"$76,818.50"
Boston Fire Department,Fire Fighter,2109,"$95,021.84"
BPS Conley Elementary,Teacher,2109,"$103,235.77"
Property Management,Maint Mech (Plumber) Rp##,2109,"$28,754.90"
Boston Police Department,"CommunEquipOp III, R-13 (CT)",2109,"$36,600.27"
Law Department,Asst Corp Counsel III,2109,"$92,605.13"
Eliot K-8,Teacher,2109,"$68,788.43"
Kilmer K-8,Teacher,2109,"$73,079.99"
Neighborhood Services,Coord,2109,"$55,277.06"
Boston Fire Department,Fire Fighter-AdvanceTechnician,2109,"$89,643.15"
ASD Office of Budget Mangmnt,Revenue Manager (OBM),2109,"$97,173.90"
BPS Mckay Elementary,Paraprofessional,2109,"$31,856.63"
Dpt of Innovation & Technology,Dir of Performance Management,2109,"$84,157.93"
Dpt of Innovation & Technology,Sr Data Proc Sys Anl,2109,"$75,165.41"
Law Department,Asst Corp Counsel I,2109,"$34,835.58"
Assessing Department,Asst Assessor (Trainee II),2109,"$40,279.64"
BPS Substitute Teachers/Nurs,Substitute Teacher,2109,"$18,150.21"
Eliot K-8,Cluster Substitute,2109,"$30,214.31"
East Boston EEC,Specialist (BTU),2109,"$17,637.37"
ASD Human Resources,Student Intern,2109,"$2,016.00"
BPS Quincy Elementary,Teacher,2109,"$9,539.55"
Boston Police Department,Police Officer,2109,"$19,587.63"
Boston Police Department,School Traffic Supv,2109,"$2,929.45"
BPS Latin Academy,Teacher,2110,"$115,802.37"
Dpt of Innovation & Technology,Sr Data Proc Sys Anl (ASD/DPU),2110,"$113,451.81"
Boston Cntr - Youth & Families,Lifeguard I,2110,"$5,144.05"
Eliot K-8,Teacher,2110,"$72,405.01"
Boston Fire Department,Fire Fighter,2110,"$87,350.01"
Warren/Prescott K-8,Teacher,2110,"$75,569.55"
Environment Department,Staff Asst IV,2110,"$86,400.51"
ASD Human Resources,Human Resources Generalist,2110,"$81,580.88"
Dpt of Innovation & Technology,Chief Enterprise Applications,2110,"$135,996.19"
Neighborhood Services,Student Intern,2110,"$3,915.00"
BPS Human Resource Team,Employment Agreement,2111,"$1,400.00"
BPS Quincy Elementary,Lunch Hour Monitors,2111,"$8,748.06"
Perry K-8,Paraprofessional,2111,"$15,321.04"
BPS Quincy Elementary,Paraprofessional,2111,"$38,321.48"
BPS Business Service,BPS Worker's Comp Job Class,2111,
BPS Snowden International Hi,Teacher,2111,"$90,694.12"
ASD Purchasing Division,Admin Asst,2111,"$64,007.42"
Neighborhood Services,Coord,2111,"$71,503.66"
Boston Fire Department,Dep Comm-Labor & Legal,2111,"$119,999.99"
Boston Cntr - Youth & Families,Athletic Assistant,2111,"$15,542.89"
BPS Quincy Elementary,Teacher,2111,"$104,165.87"
Boston Public Library,Sr Library Asst,2111,"$23,916.72"
BPS Boston Arts Academy,Part-Time Cafeteria Attendant,2111,"$20,217.74"
Assessing Department,Supv-Asst Assessors,2111,"$59,329.76"
Workers Compensation Service,Workers Comp Job Classificatn,2111,
UP Academy Dorchester,Part-Time Cafeteria Attendant,2111,"$16,320.22"
BPS Carter Center,Teacher,2111,"$65,802.93"
UP Academy Dorchester,Cluster Substitute ES,2111,"$3,439.21"
BPS Higginson Elementary,Teacher,2111,"$78,663.73"
Boston Public Library,Digital Repository Developer,2111,"$23,575.31"
