SchoolId,BPS_School_Name,BPS_Historical_Name,SMMA_Abbreviated_Name,BPS_Address,BRA_Neighborhood,SMMA_Typology,BPS_Year_Founded ,BPS_Year_Built,BPS_Open,BPS_Close
1,"Adams, Samuel Elementary",Adams,Adams,"165 Webster St East Boston, MA 02128",East Boston,Elementary School,1910,1910,7:30:00 AM,1:30:00 PM
2,"Alighieri, Dante Montessori School",Alighieri,Alighieri,"37 Gove Street East Boston, MA 02128",East Boston,Elementary School,1924,1924,7:30:00 AM,1:30:00 PM
3,Another Course to College*,Taft,ACC*,"20 Warren Street Brighton, MA 02135",Allston,High School,1939,1895,7:30:00 AM,2:30:00 PM
4,Baldwin Early Learning Pilot Academy,Baldwin ELC,Baldwin,"121 Corey Rd Brighton, MA 02135",Brighton,Early Learning,1926,1926,7:30:00 AM,4:35:00 PM
5,"Bates, Phineas Elementary",Bates,Bates,"426 Beech St Roslindale, MA 02131",Roslindale,Elementary School,1929,1929,9:30:00 AM,3:30:00 PM
6,"Beethoven, Ludwig Van Elementary",Beethoven,Beethoven,"5125 Washington St West Roxbury, MA 02132",West Roxbury,Elementary School,1925,1925,8:30:00 AM,2:30:00 PM
7,"Blackstone, William Elementary",Blackstone,Blackstone,"380 Shawmut Ave Boston, MA 02118",South End,Elementary School,1975,1975,8:30:00 AM,3:00:00 PM
8,Boston Adult Technical Academy,,BATA,"20 Church Street Boston, MA 02116",Bay Village,Special,2005,1899,8:50:00 AM,3:30:00 PM
9,Boston Arts Academy,Boston Arts Academy,BAA,"174 Ipswich St Boston, MA 02215",Fenway,High School,1998,1899,8:50:00 AM,3:55:00 PM
10,Boston Community Leadership Academy*,Hyde Park High Complex,BCLA,"655 Metropolitan Av Hyde Park, MA 02136",Hyde Park,High School,2005,1929,7:45:00 AM,2:30:00 PM
11,Boston Day & Evening Academy,Wheatley,Day & Evening,"20 Kearsarge Avenue, Roxbury 02119",Roxbury,Special,1929,1995,,
12,Boston Green Academy*,Taft,Boston Green*,"20 Warren Street Brighton, MA 02135",Allston,High School,,1895,"8:00 AM M-Th7:30 AM Fri","3:00 PM M-Th12:00 PM Fri"
