RestaurantName,UserName
"Academy Market",gost444
"Abyssinia Market",gost444
"Alex's Market III  Inc.",gost444
"Almany Market",gost444
"Anshur Restauruant",gost444
"Arizona B B Q",gost444
"BACKWOODS PIZZA",gost444
"Best Western Plus Roundhouse Suites",gost444
"Black Bag Mini Mart",gost444
"Blue Hill House of Pizza",gost444
"CASTILLO BEER  WINE AND LIQUORS  LLC",gost444
"Chauncy Liquors",gost444
"Backlash Taproom",gost444
"Daily Table",gost444
"DAYIB CAFE",gost444
"DEARBORN LIQUOR STORE",gost444
"District 7 Tavern",gost444
Domino's,gost444
"Dona Habana Restaurant",gost444
"Blue Hill Convenience",gost444
"BLUE HILL SUPERETTE",gost444
"Dudley Cafe",gost444
"Dudley Food Market",gost444
"Dudley Halal Market Inc",gost444
"Dudley Sq. Grill",gost444
DUNKIN',gost444
"Dunkin' Donuts",gost444
"DUNKIN DONUTS'",gost444
"EGLESTON PIZZA",gost444
"EGLESTON SQ. SERVICES INC.",gost444
"El Caribeno Restaurant",gost444
"El Fongon Restaurant",gost444
"EL MONDONGUITO",gost444
"Breaking New Ground Cafe",gost444
"F & T Davey's Supermarket",gost444
"Cram Seafood Co.",gost444
"Crown Fried Chicken",gost444
"Chauncy Brothers Smoke Shop",gost444
"Gina's Grocery Store",gost444
"HALEY HOUSE BAKERY CAFE",gost444
"HAMPTON INN & SUITES BOSTON",gost444
"HIGHLAND TAP OF BOSTON INC.",gost444
"Dunkin Donuts",gost444
"Gemelas Market II",gost444
"IDEAL SUB SHOP",gost444
"Islamic Society of Boston CC",gost444
"JA Fernandez",gost444
"Joe's Famous Subs & Pizza",gost444
"J'S CAFE @BOS. W & S",gost444
"Kaba African Market",gost444
"KALIHARI GRILL",gost444
"Dunkin' Donuts",gost444
"KORNFIELD DRUG CO.",gost444
"La Borinquena Grocery",gost444
"La Chapi Market",gost444
"La Peraviana Market",gost444
"Khadija's  Express Cafe",gost444
"Ledeta Gebeya",gost444
"LUCKY BOSTON CHINESE REST.",gost444
"M & R Store",gost444
"Mario's Subs & Salad",gost444
Mcdonalds,gost444
"Mcdonalds (Warren St.)",gost444
"MERENGUE RESTAURANT",gost444
"Merkato Variety Store",gost444
"Marshalls No.  1147",gost444
"Millenium Restaurant & Grill",gost444
"Fort Hill Bar & Grill",gost444
"Fernandez Brothers Liquors",gost444
"MORGAN MEMORIAL CAFETERIA",gost444
"N & M MARKET",gost444
"Fasika Cafe",gost444
"New Market Pizza & Grill",gost444
"Nos Casa Cafe",gost444
"NUNEZ MARKET",gost444
Mcdonalds,gost444
"JALLOH'S AFRICAN MARKET",gost444
"PEKING HOUSE",gost444
"P & R Restaurant & Ice Cream Parlor",gost444
"Planet Gracie",gost444
Popeyes,gost444
"Quick Stop",gost444
"Roxbury Mini Market",gost444
"Royal Fried Chicken",gost444
"Rey Del Pollo",gost444
"Maggie's Grill @ Franklin Park Golf Course",gost444
Save-A-Lot,gost444
"Seven 86 Market",gost444
"Silver Slipper",gost444
"SOUTHERN BAPTIST CHURCH",gost444
"Suya Joint",gost444
"Rox. Comm. College Bookstore",gost444
"Top Mix Bar & Kitchen",gost444
"Rebecca's Cafe",gost444
"Tropical Foods International",gost444
"UGIS SUBS",gost444
"Vasquez Pizza & Spanish Food",gost444
"Pina's Grocery",gost444
"Residence Inn L",gost444
"Walgreen's No.  09538",gost444
"WALGREEN'S No.  4072",gost444
"Walgreen's No. 3016",gost444
"Walnut Market",gost444
"Warren Food Mart",gost444
"Sandy's Market",gost444
"Soleil Restaurant",gost444
"YAWKEY CLUB OF ROXBURY",gost444
"Yummy Yummy",gost444
"Stop and Taste Pizza Grill",gost444
"The Gift Shop @ ISBCC",gost444
"Residence Inn",gost444
"Warren Market",gost444
"Academy Market",jgoldst
"Abyssinia Market",jgoldst
"Alex's Market III  Inc.",jgoldst
"Almany Market",jgoldst
"Anshur Restauruant",jgoldst
"Arizona B B Q",jgoldst
"BACKWOODS PIZZA",jgoldst
"Best Western Plus Roundhouse Suites",jgoldst
"Black Bag Mini Mart",jgoldst
"Blue Hill House of Pizza",jgoldst
"CASTILLO BEER  WINE AND LIQUORS  LLC",jgoldst
"Chauncy Liquors",jgoldst
"Backlash Taproom",jgoldst
"Daily Table",jgoldst
"DAYIB CAFE",jgoldst
"DEARBORN LIQUOR STORE",jgoldst
"District 7 Tavern",jgoldst
Domino's,jgoldst
"Dona Habana Restaurant",jgoldst
"Blue Hill Convenience",jgoldst
"BLUE HILL SUPERETTE",jgoldst
"Dudley Cafe",jgoldst
"Dudley Food Market",jgoldst
"Dudley Halal Market Inc",jgoldst
"Dudley Sq. Grill",jgoldst
DUNKIN',jgoldst
"Dunkin' Donuts",jgoldst
"DUNKIN DONUTS'",jgoldst
"EGLESTON PIZZA",jgoldst
"EGLESTON SQ. SERVICES INC.",jgoldst
"El Caribeno Restaurant",jgoldst
"El Fongon Restaurant",jgoldst
"EL MONDONGUITO",jgoldst
"Breaking New Ground Cafe",jgoldst
"F & T Davey's Supermarket",jgoldst
"Cram Seafood Co.",jgoldst
"Crown Fried Chicken",jgoldst
"Chauncy Brothers Smoke Shop",jgoldst
"Gina's Grocery Store",jgoldst
