RestaurantId,RestaurantName,LicenseStatus,RestaurantType,Address,City,State,Zip
1,100 Percent Delicia Food,Active,Eating & Drinking,635   Hyde Park AVE,Roslindale,MA,2131
2,1000 Washington Cafe,Inactive,Eating & Drinking,1000   Washington ST,Roxbury,MA,2118
3,149 Eat Street,Active,Eating & Drinking,300   CHELSEA ST,Charlestown/,MA,2129
4,150 Boylston St. Dining Room @ Emerson College,Inactive,Eating & Drinking,150   Boylston ST,Boston,MA,2116
5,163 Vietnamese Sandwich,Active,Eating & Drinking,66    Harrison AV,BOSTON,MA,2111
6,20TH CENTRY BOWLING LANES,Active,Eating & Drinking w/ Take Out,1231   Hyde Park AVE,Hyde Park,MA,2136
7,21 ST. AMENDMENT,Active,Eating & Drinking,150   Bowdoin ST,Boston,MA,2108
8,224 BOSTON STREET,Inactive,Eating & Drinking,224   Boston ST,Dorchester,MA,2125
9,24 SEVEN,Inactive,Retail Food,655   Warren ST,Dorchester,MA,2121
10,28 DEGREES,Inactive,Eating & Drinking,1   Appleton ST,Boston,MA,2116
11,29 Newbury Street,Inactive,Eating & Drinking,29   Newbury ST,Boston,MA,2116
12,2nd Cup Cafe,Inactive,Eating & Drinking,101   Brighton AVE,Allston,MA,2134
13,300 Saratoga Cafe,Inactive,Eating & Drinking,300   Saratoga ST,Boston,MA,2128
14,303 Cafe,Inactive,Eating & Drinking,303   Sumner ST,East Boston,MA,2128
15,320 Cafe,Active,Eating & Drinking,314   Spring ST,West Roxbury,MA,2132
16,4 Brothers Market,Active,Retail Food,3997   Washington ST,Roslindale,MA,2131
17,49 Social,Active,Eating & Drinking,49  Temple Pl,Boston,MA,2111
18,5 J's & M  Convenience Market,Inactive,Retail Food,1275   River ST,Hyde Park,MA,2136
19,5 Napkin Burger,Inactive,Eating & Drinking,101  Huntington AVE,Boston,MA,2199
20,129 Lake Street Cafe,Active,Eating & Drinking,127   LAKE ST,Brighton/,MA,2135
21,224 BOSTON,Active,Eating & Drinking,224   Boston ST,Dorchester,MA,2125
22,1000 Degrees Pizza,Active,Eating & Drinking,55   Court ST,Boston,MA,2108
23,125 Nashua St. Cafe (MGH),Active,Eating & Drinking,125  Nashua St,Boston,MA,2114
24,556 Riverside Market,Inactive,Retail Food,556R  River ST,Mattapan,MA,2126
25,68 Chinese Fast Food,Inactive,Eating & Drinking w/ Take Out,48   Winter ST,Boston,MA,2108
26,7 - Eleven No. 37491A,Inactive,Retail Food,684   Centre ST,Jamaica Plain,MA,2130
27,7 Star St. Bistro/Astro Diner/Rozzie Ramen,Inactive,Eating & Drinking w/ Take Out,153   Belgrade AVE,Roslindale,MA,2131
28,75 CHESTNUT,Active,Eating & Drinking,75   Chestnut ST,Boston,MA,2108
29,75 On Liberty Wharf,Active,Eating & Drinking,220   Northern AVE,Boston,MA,2210
30,753 South,Active,Eating & Drinking,749   South ST,Roslindale,MA,2131
31,88 SUPERMARKET,Inactive,Retail Food,50   Herald ST,Roxbury,MA,2118
32,89 Broad Street,Active,Eating & Drinking,89   Broad ST,Boston,MA,2110
33,98 HONG KONG CAFE,Inactive,Eating & Drinking,1505   COMMONWEALTH  AV,BRIGHTON,MA,2135
34,99 RESTAURANT AND PUB,Active,Eating & Drinking,29   Austin ST,Charlestown,MA,2129
35,3 SCOOPS,Inactive,Eating & Drinking w/ Take Out,403   Washington ST,Brighton,MA,2135
36,33 RESTAURANT & LOUNGE,Inactive,Eating & Drinking,33   Stanhope ST,Boston,MA,2116
37,4 Quarter Plus Bargain Center,Inactive,Retail Food,884A   Morton ST,Dorchester,MA,2124
38,5-WITS,Inactive,Eating & Drinking,186   BROOKLINE  AV,BOSTON,MA,2215
39,3 C's Cleveland Cir. Conv.,Inactive,Retail Food,358   Chestnut Hill AVE,Brighton,MA,2134
40,4M MARKET,Inactive,Retail Food,3114   Washington ST,Roxbury,MA,2119
41,A & N PIZZA,Active,Eating & Drinking w/ Take Out,1409   Centre ST,West Roxbury,MA,2132
42,A & R FOOD SERVICE CO.  STATION 10,Inactive,Eating & Drinking,1199   TREMONT ST,BOSTON,MA,2188
43,A @ Time,Active,Eating & Drinking w/ Take Out,433  Cambridge ST,Allston,MA,2134
44,A @ Time,Inactive,Eating & Drinking w/ Take Out,417   Cambridge ST,Allston,MA,2134
45,A C Farm Market,Active,Retail Food,1429   Dorchester AVE,Dorchester,MA,2122
46,A K's Kitchen,Inactive,Eating & Drinking,1234  Columbus AVE,Roxbury,MA,2119
47,A K's Take Out,Inactive,Eating & Drinking w/ Take Out,305   D ST,South Boston,MA,2127
