SMMA_Educational_Program,BPS_Grades_Offered
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K0-5
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K0-1
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K1-3
Elementary: Pre-K to 6,K0-5
High Schools: 9 to 12,43781
High Schools: 9 to 12,43720
High Schools: 9 to 12,43720
High Schools: 9 to 12,43720
High Schools: 7 to 12,43628
High Schools: 9 to 12,43720
High Schools: 7 to 12,43658
High Schools: 7 to 12,43658
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 6,K0-5
High Schools: 9 to 12,43720
High Schools: 9 to 12,43720
High Schools: 7 to 12,43628
Elementary: Pre-K to 6,K1-5
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K1-5
High Schools: 9 to 12,43720
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K0-6
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 8,K1-5
Elementary: Pre-K to 8,43624
High Schools: 7 to 12,43628
Elementary: Pre-K to 6,K1-5
Not Assessed,None
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-1
High Schools: 9 to 12,43720
Elementary: Pre-K to 8,K0-8
Middle Schools: 7 to 8,43624
Elementary: Pre-K to 8,K0-1
Elementary: Pre-K to 8,43504
Not Assessed,None
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-3
Not Assessed,None
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K0-5
High Schools: 9 to 12,43720
High Schools: 9 to 12,43720
Middle Schools: 7 to 8,43624
Elementary: Pre-K to 8,K1-8
High Schools: 9 to 12,43720
Not Assessed,None
Elementary: Pre-K to 8,K1-8
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 8,K1-8
Not Assessed,None
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K0-1
Elementary: Pre-K to 6,K0-4
High Schools: 7 to 12,43597
Elementary: Pre-K to 8,K2-7
Elementary: Pre-K to 8,K1-8
Elementary: Pre-K to 6,K0-2
Elementary: Pre-K to 8,K1-8
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 8,K0-12
Elementary: Pre-K to 8,K0-8
Middle Schools: 7 to 8,43593
Elementary: Pre-K to 8,K1-8
High Schools: 9 to 12,43781
High Schools: 9 to 12,43718
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 8,K1-3
Elementary: Pre-K to 8,43563
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 6,K0-1
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 8,K1-8
High Schools: 9 to 12,43720
Elementary: Pre-K to 8,K2-8
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-5
Middle Schools: 7 to 8,43624
Elementary: Pre-K to 8,K2-8
Middle Schools: 7 to 8,43624
High Schools: 9 to 12,K2-5
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 6,K1-5
High Schools: 9 to 12,43720
Elementary: Pre-K to 8,K0-8
High Schools: 9 to 12,43720
High Schools: 7 to 12,43658
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 8,43532
Elementary: Pre-K to 8,K1-8
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K2-5
Elementary: Pre-K to 8,K1-8
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-5
High Schools: 7 to 12,43628
Not Assessed,43628
Not Assessed,None
Elementary: Pre-K to 8,K1-1
Elementary: Pre-K to 8,43504
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K0-1
High Schools: 9 to 12,43720
Not Assessed,43720
Not Assessed,43720
Not Assessed,None
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 6,K0-5
High Schools: 7 to 12,43628
Middle Schools: 7 to 8,43624
Elementary: Pre-K to 8,K0-8
Elementary: Pre-K to 8,K1-7
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 8,K2-8
Middle Schools: 7 to 8,43624
Elementary: Pre-K to 8,K1-5
Elementary: Pre-K to 6,K1-5
High Schools: 9 to 12,43720
Elementary: Pre-K to 8,K0-6
Elementary: Pre-K to 8,43654
High Schools: 9 to 12,43720
Elementary: Pre-K to 6,K0-1
Elementary: Pre-K to 6,K0-5
Elementary: Pre-K to 6,K1-5
Elementary: Pre-K to 8,K1-8
